# ============================================
# MODBUS RTU SPECIFICATION - Kaisai/Phinx Heat Pumps
# ============================================
#
# 1. TRANSMISSION FORMAT
# ----------------------
# Baud Rate:     9600 bps
# Start bit:     1
# Byte width:    8
# Parity:        None (N)
# Stop bits:     1
# Slave address: 0x10 (16 decimal)
#
# 2. PACKET FORMAT
# ----------------
# | Address (16bit) | Function (16bit) | Data (N*16bit) | CRC Checksum (16bit) |
#
# Function codes:
#   03 - Read multiple registers
#   16 - Write (preset) multiple registers
#
# 3. DATA TYPES
# -------------
# TEMP  - Signed, 0.1°C resolution. Formula: T*10. Range: -30~97°C
#         Example: 25°C = 250, -25°C = -250 (bit15=1 for negative)
#         Value 32767 indicates sensor fault
# DIGI1 - Unsigned, unit 1. Display 123 = data 123
# DIGI2 - Unsigned, unit 10. Display 1230 = data 123
# DIGI3 - Unsigned, unit 100. Display 12300 = data 123
# DIGI4 - Unsigned, unit 100. Display 12300 = data 123
# DIGI5 - Unsigned, unit 0.1. Display 12.3 = data 123
# DIGI6 - Unsigned, unit 0.001. Display 0.123 = data 123
# DIGI9 - Unsigned, unit 0.01. Display 0.12 = data 12
# ENUM  - Enumeration, discrete values
# BINARY- Bitfield, each bit has meaning
#
# ============================================
Parameter address,Parameter name,Parameter code,Standard num,Mode,Description,Data type,Setting range
1282-L,Mode&Temp.&Power Timer1 End-L,M1 End-L,--,Read-write,--,DIGI1,0~59
1283,Mode&Temp.&Power Timer1 Hot Water Target,M1 Hot Water Target,--,Read-write,R36-R37,TEMP,$1176$~$1177$
1284,Mode&Temp.&Power Timer1 Heating Target,M1 Heating Target,--,Read-write,R10~R11,TEMP,$1164$~$1165$
1285,Mode&Temp.&Power Timer1 Cooling Target,M1 Cooling Target,--,Read-write,R08~R09,TEMP,$1162$~$1163$
1286,Mode&Temp.&Power Timer1 Mode,M1 Mode,--,Read-write,--,ENUM,--
1287,Mode&Temp.&Power Timer1 Max. Power,M1 Max. Power,--,Read-write,0.0-99.9kW,DIGI5,0~99.9
1288,Mode&Temp.&Power Timer2 Start,M2 Start,--,Read-write,--,DIGI1,--
1288-H,Mode&Temp.&Power Timer2 Start-H,M2 Start-H,--,Read-write,--,DIGI1,0~23
1288-L,Mode&Temp.&Power Timer2 Start-L,M2 Start-L,--,Read-write,--,DIGI1,0~59
1289,Mode&Temp.&Power Timer2 End,M2 End,--,Read-write,--,DIGI1,--
1289-H,Mode&Temp.&Power Timer2 End-H,M2 End-H,--,Read-write,--,DIGI1,0~23
1289-L,Mode&Temp.&Power Timer2 End-L,M2 End-L,--,Read-write,--,DIGI1,0~59
1290,Mode&Temp.&Power Timer2 Hot Water Target,M2 Hot Water Target,--,Read-write,R36-R37,TEMP,$1176$~$1177$
1291,Mode&Temp.&Power Timer2 Heating Target,M2 Heating Target,--,Read-write,R10~R11,TEMP,$1164$~$1165$
1292,Mode&Temp.&Power Timer2 Cooling Target,M2 Cooling Target,--,Read-write,R08~R09,TEMP,$1162$~$1163$
1293,Mode&Temp.&Power Timer2 Mode,M2 Mode,--,Read-write,--,ENUM,--
1294,Mode&Temp.&Power Timer2 Max. Power,M2 Max. Power,--,Read-write,0.0-99.9kW,DIGI5,0~99.9
1295,Mode&Temp.&Power Timer3 Start,M3 Start,--,Read-write,--,DIGI1,--
1295-H,Mode&Temp.&Power Timer3 Start-H,M3 Start-H,--,Read-write,--,DIGI1,0~23
1295-L,Mode&Temp.&Power Timer3 Start-L,M3 Start-L,--,Read-write,--,DIGI1,0~59
1296,Mode&Temp.&Power Timer3 End,M3 End,--,Read-write,--,DIGI1,--
1296-H,Mode&Temp.&Power Timer3 End-H,M3 End-H,--,Read-write,--,DIGI1,0~23
1296-L,Mode&Temp.&Power Timer3 End-L,M3 End-L,--,Read-write,--,DIGI1,0~59
1297,Mode&Temp.&Power Timer3 Hot Water Target,M3 Hot Water Target,--,Read-write,R36-R37,TEMP,$1176$~$1177$
1298,Mode&Temp.&Power Timer3 Heating Target,M3 Heating Target,--,Read-write,R10~R11,TEMP,$1164$~$1165$
1299,Mode&Temp.&Power Timer3 Cooling Target,M3 Cooling Target,--,Read-write,R08~R09,TEMP,$1162$~$1163$
1300,Mode&Temp.&Power Timer3 Mode,M3 Mode,--,Read-write,--,ENUM,--
1301,Mode&Temp.&Power Timer3 Max. Power,M3 Max. Power,--,Read-write,0.0-99.9kW,DIGI5,0~99.9
1302,Mode&Temp.&Power Timer4 Start,M4 Start,--,Read-write,--,DIGI1,--
1302-H,Mode&Temp.&Power Timer4 Start-H,M4 Start-H,--,Read-write,--,DIGI1,0~23
1302-L,Mode&Temp.&Power Timer4 Start-L,M4 Start-L,--,Read-write,--,DIGI1,0~59
1303,Mode&Temp.&Power Timer4 End,M4 End,--,Read-write,--,DIGI1,--
1303-H,Mode&Temp.&Power Timer4 End-H,M4 End-H,--,Read-write,--,DIGI1,0~23
1303-L,Mode&Temp.&Power Timer4 End-L,M4 End-L,--,Read-write,--,DIGI1,0~59
1304,Mode&Temp.&Power Timer4 Hot Water Target,M4 Hot Water Target,--,Read-write,R36-R37,TEMP,$1176$~$1177$
1305,Mode&Temp.&Power Timer4 Heating Target,M4 Heating Target,--,Read-write,R10~R11,TEMP,$1164$~$1165$
1306,Mode&Temp.&Power Timer4 Cooling Target,M4 Cooling Target,--,Read-write,R08~R09,TEMP,$1162$~$1163$
1307,Mode&Temp.&Power Timer4 Mode,M4 Mode,--,Read-write,--,ENUM,--
1308,Mode&Temp.&Power Timer4 Max. Power,M4 Max. Power,--,Read-write,0.0-99.9kW,DIGI5,0~99.9
1309,Mode&Temp.&Power Timer5 Start,M5 Start,--,Read-write,--,DIGI1,--
1309-H,Mode&Temp.&Power Timer5 Start-H,M5 Start-H,--,Read-write,--,DIGI1,0~23
1309-L,Mode&Temp.&Power Timer5 Start-L,M5 Start-L,--,Read-write,--,DIGI1,0~59
1310,Mode&Temp.&Power Timer5 End,M5 End,--,Read-write,--,DIGI1,--
1310-H,Mode&Temp.&Power Timer5 End-H,M5 End-H,--,Read-write,--,DIGI1,0~23
1310-L,Mode&Temp.&Power Timer5 End-L,M5 End-L,--,Read-write,--,DIGI1,0~59
1311,Mode&Temp.&Power Timer5 Hot Water Target,M5 Hot Water Target,--,Read-write,R36-R37,TEMP,$1176$~$1177$
1312,Mode&Temp.&Power Timer5 Heating Target,M5 Heating Target,--,Read-write,R10~R11,TEMP,$1164$~$1165$
1313,Mode&Temp.&Power Timer5 Cooling Target,M5 Cooling Target,--,Read-write,R08~R09,TEMP,$1162$~$1163$
1314,Mode&Temp.&Power Timer5 Mode,M5 Mode,--,Read-write,--,ENUM,--
1315,Mode&Temp.&Power Timer5 Max. Power,M5 Max. Power,--,Read-write,0.0-99.9kW,DIGI5,0~99.9
1316,Mode&Temp.&Power Timer6 Start,M6 Start,--,Read-write,--,DIGI1,--
1316-H,Mode&Temp.&Power Timer6 Start-H,M6 Start-H,--,Read-write,--,DIGI1,0~23
1316-L,Mode&Temp.&Power Timer6 Start-L,M6 Start-L,--,Read-write,--,DIGI1,0~59
1317,Mode&Temp.&Power Timer6 End,M6 End,--,Read-write,--,DIGI1,--
1317-H,Mode&Temp.&Power Timer6 End-H,M6 End-H,--,Read-write,--,DIGI1,0~23
1317-L,Mode&Temp.&Power Timer6 End-L,M6 End-L,--,Read-write,--,DIGI1,0~59
1318,Mode&Temp.&Power Timer6 Hot Water Target,M6 Hot Water Target,--,Read-write,R36-R37,TEMP,$1176$~$1177$
1319,Mode&Temp.&Power Timer6 Heating Target,M6 Heating Target,--,Read-write,R10~R11,TEMP,$1164$~$1165$
1320,Mode&Temp.&Power Timer6 Cooling Target,M6 Cooling Target,--,Read-write,R08~R09,TEMP,$1162$~$1163$
1321,Mode&Temp.&Power Timer6 Mode,M6 Mode,--,Read-write,--,ENUM,--
1322,Mode&Temp.&Power Timer6 Max. Power,M6 Max. Power,--,Read-write,0.0-99.9kW,DIGI5,0~99.9
1323,Mode&Temp.&Power Timer1_2 Enalbe,M1_2 Enalbe,--,Read-write,--,BINARY,--
1324,Mode&Temp.&Power Timer3_4 Enalbe,M3_4 Enalbe,--,Read-write,--,BINARY,--
1325,Mode&Temp.&Power Timer5_6 Enalbe,M5_6 Enalbe,--,Read-write,--,BINARY,--
1326,Warm Water Cir. Pump Timer1 Start,W1 Start,--,Read-write,--,DIGI1,--
1326-H,Warm Water Cir. Pump Timer1 Start-H,W1 Start-H,--,Read-write,--,DIGI1,0~23
1326-L,Warm Water Cir. Pump Timer1 Start-L,W1 Start-L,--,Read-write,--,DIGI1,0~59
1327,Warm Water Cir. Pump Timer1 End,W1 End,--,Read-write,--,DIGI1,--
1327-H,Warm Water Cir. Pump Timer1 End-H,W1 End-H,--,Read-write,--,DIGI1,0~23
1327-L,Warm Water Cir. Pump Timer1 End-L,W1 End-L,--,Read-write,--,DIGI1,0~59
1328,Warm Water Cir. Pump Timer2 Start,W2 Start,--,Read-write,--,DIGI1,--
1328-H,Warm Water Cir. Pump Timer2 Start-H,W2 Start-H,--,Read-write,--,DIGI1,0~23
1328-L,Warm Water Cir. Pump Timer2 Start-L,W2 Start-L,--,Read-write,--,DIGI1,0~59
1329,Warm Water Cir. Pump Timer2 End,W2 End,--,Read-write,--,DIGI1,--
1329-H,Warm Water Cir. Pump Timer2 End-H,W2 End-H,--,Read-write,--,DIGI1,0~23
1329-L,Warm Water Cir. Pump Timer2 End-L,W2 End-L,--,Read-write,--,DIGI1,0~59
1330,Warm Water Cir. Pump Timer3 Start,W3 Start,--,Read-write,--,DIGI1,--
1330-H,Warm Water Cir. Pump Timer3 Start-H,W3 Start-H,--,Read-write,--,DIGI1,0~23
1330-L,Warm Water Cir. Pump Timer3 Start-L,W3 Start-L,--,Read-write,--,DIGI1,0~59
1331,Warm Water Cir. Pump Timer3 End,W3 End,--,Read-write,--,DIGI1,--
1331-H,Warm Water Cir. Pump Timer3 End-H,W3 End-H,--,Read-write,--,DIGI1,0~23
1331-L,Warm Water Cir. Pump Timer3 End-L,W3 End-L,--,Read-write,--,DIGI1,0~59
1332,Warm Water Cir. Pump Timer1_2 Enalbe,W1_2 Enalbe,--,Read-write,--,BINARY,--
1333,Warm Water Cir. Pump Timer3 Enalbe,W3 Enalbe,--,Read-write,--,BINARY,--
1334,SG Ready Application,SG01,--,Read-write,--,ENUM,0~2
1335,Block Time of Mode 1,SG02,--,Read-write,--,DIGI1,0~120
1336,Limited Power in Solar Low Mode 2,SG03,--,Read-write,--,DIGI5,0~99.9
1337,Limited Power in Solar Medium Mode 3,SG04,--,Read-write,--,DIGI5,0~99.9
1338,Additional hot water temp. in Mode 4,SG05,--,Read-write,--,TEMP,0~25
1339,Additional heating water temp. in Mode 4,SG06,--,Read-write,--,TEMP,0~25
1340,Additional Cooling water temp. in Mode 4,SG07,--,Read-write,--,TEMP,0~25
1341,Turn on the electric heater immediately in Mode 4,SG08,--,Read-write,--,ENUM,0~1
1342,Low Pressure of Limiting Frequency,A38,--,Read-write,0.0~20.0bar,DIGI5,0.0~20.0
1343,Max. Current Value,A39,--,Read-write,0.0~50.0A,DIGI5,0.0~50.0
1344,Rated Water Flow,A40,--,Read-write,0.00~9.99m³/h,DIGI9,0.00~9.99
1345,External pump selection,H40,--,Read-write,0-Hot Water Pump/ 1-Warm Water Cir. Pump/ 2-Off signal when defrosting,ENUM,0~2
1346,Password for unmodified parameters,H41,--,Read-write,--,DIGI1,66~999
1347,Max. Comp. Frequency in DHW mode,C12,--,Read-write,30~C03Hz,DIGI1,30~$1220$
1348,P of Comp. Frequency PID,C13,--,Read-write,--,DIGI1,0~10
1349,I of Comp. Frequency PID,C14,--,Read-write,--,DIGI1,0~10
1350,D of Comp. Frequency PID,C15,--,Read-write,--,DIGI1,0~10
1351,P of EEV PID,E20,--,Read-write,--,DIGI1,0~10
1352,I of EEV PID,E21,--,Read-write,--,DIGI1,0~10
1353,Test11,Test11,--,Read-write,--,TEMP,-10.0~10.0
1354,Test12,Test12,--,Read-write,--,TEMP,-10.0~10.0
1355,Test9,Test9,--,Read-write,--,TEMP,-10.0~10.0
1356,AT for bottom plate heater turned on,H42,--,Read-write,-20.0~20.0℃,TEMP,-20.0~20.0
1357,Diff. of No Pump On at Low Water Temp.,Z19,--,Read-write,0~25℃,TEMP,0~25
1358,Enable Zone 1 Water Pump in Cooling,Z20,--,Read-write,--,ENUM,0~1
1371,Factory Test Mode,FT0,EnTestMode,Read-write,--,ENUM,0~3
1372,Power,FT1,EnPowerTest,Read-write,--,ENUM,0~1
1373,Mode,FT2,SetModeTest,Read-write,--,ENUM,--
1374,Target Temp.,FT3,SetTargetTempTest,Read-write,--,TEMP,0.0~99.9
1375,Compressor Frequency,FT4,SetCompFreqTest,Read-write,--,DIGI1,0~120
1376,Target Speed of Fan1,FT5,SetTargetFan1SpeedTest,Read-write,--,DIGI1,0~1300
1377,Target Speed of Fan2,FT6,SetTargetFan2SpeedTest,Read-write,--,DIGI1,0~1300
1378,EEV Steps,FT7,SetEEVStepsTest,Read-write,--,DIGI1,0~550
1379,EVI Steps,FT8,SetEVIStepsTest,Read-write,--,DIGI1,0~550
1380,Speed of Circulation Pump,FT9,SetWaterPumpSpeedTest,Read-write,--,DIGI1,0~100
1381,P99,P99,--,Read-write,--,DIGI1,0~100
1382,End OT Cooling,DP2-temp,--,Read-write,4~25℃,TEMP,4~25
1384,Offset dew point,DP3-TEMP,--,Read-write,-10~10℃,TEMP,-10~10
1385,Dew point monitoring,DP1-temp,--,Read-write,0-NO 1-YES,ENUM,0~1
1387,Dew point control function,DP1,--,Read-write,0-OFF/1-Temp. & Humidity Sensor/2-ON,ENUM,0~2
1388,Dew Point Temp. Offset Value,DP2,--,Read-write,-10~10,TEMP,-10~10
1389,Temp. diff. between indoor&outdoor temp. to stop,DP3,--,Read-write,4~25,TEMP,4~25
1402,Min. Defrost Time,D29,--,Read-write,--,DIGI1,0~20
1404,Enable Showing COP and Heating Output,H45,--,Read-write,0-No/1-Yes,ENUM,0~1
1405,Unit Max. Power Limit,/,--,Read-write,0.0~99.9kW,DIGI5,0~99.9
1422,Low PV Max. Load Ratio,EMS01,--,Read-write,0~100%,DIGI1,0~100
1423,Colling Mode Target Temp. Compen.,EMS02,--,Read-write,0~20℃,TEMP,0~20
1424,Heating Mode Target Temp. Compen.,EMS03,--,Read-write,0~20℃,TEMP,0~20
1425,DHW Mode Target Temp. Compen.,EMS04,--,Read-write,0~20℃,TEMP,0~20
1426,Zone Room Target Temp. Compen.,EMS05,--,Read-write,0~20℃,TEMP,0~20
1427,Max. Selling Power,EMS06,--,Read-write,--,DIGI1,0~6000
1429,Allow Disinfection in Standby & Off Mode,G06,--,Read-write,--,ENUM,0~1
1431,test66,test66,--,Read-write,0~20.0,DIGI5,0~20
1432,Target Temp. Diff. for Pump Speed Control,P11,--,Read-write,0~20℃,TEMP,0~20
1433,Pump Speed Adjust Range for Each Period,P12,--,Read-write,0~10N,DIGI1,0~10
1435,Refill Valve Start Cycle (for IDU),P13,--,Read-write,0~200days,DIGI1,0~200
1436,Refill Valve Working Duration (for IDU),P14,--,Read-write,0~6000s,DIGI1,0~6000
1437,Bottom Heater Delays Off Time after Defrost,D30,--,Read-write,0~60Min,DIGI1,0~60
1438,Target Water Pressure (for IDU),P15,--,Read-write,0.0~20.0Bar,DIGI5,0.0~20.0
1444,Stop Refilling Pressure Diff. (for IDU),P16,--,Read-write,0.0~5.0bar,DIGI5,0.0~5.0
2011,Power State,Power State,--,Read-only,0-OFF/1-ON,ENUM,--
2012,Mode State,ModeState,--,Read-only,0-Cooling/1-Heating/2-Defrost/3-Disinfection/4-Hot water,ENUM,--
2013,Compressor Limit Temp.,2013,--,Read-only,Compensate Limit Temp,TEMP,--
2014,HeatPump Standby Target Temp.,2014,--,Read-only,Compensate Set Temp,TEMP,--
2015,2015,2015,--,Read-only,--,DIGI1,--
2018,Load Output,O25,--,Read-only,--,BINARY,--
2019,Load Output,O01~023,--,Read-only,--,BINARY,--
2020,EEV Steps,O15,Sys1EEVSteps,Read-only,--,DIGI1,--
2022,EVI EEV Steps,O17,Sys1EVIEEVSteps,Read-only,--,DIGI1,--
2023,Number of startup times of the compressor,T57,--,Read-only,X times,DIGI1,--
2024,Backup Heater Running Time in DHW Mode,T58,--,Read-only,Hour,DIGI1,--
2025,Backup Heater Running Time in Heating mode,T59,--,Read-only,Hour,DIGI1,--
2026,DSP_version,DSP_version,--,Read-only,--,DIGI1,--
2027,PFC_version,PFC_version,--,Read-only,--,DIGI1,--
2028,EEPROM,EEPROM,--,Read-only,--,DIGI1,--
2029,InputCurrent1,InputCurrent1,--,Read-only,--,DIGI5,--
2030,InputCurrent2,InputCurrent2,--,Read-only,--,DIGI5,--
2031,InputCurrent3,InputCurrent3,--,Read-only,--,DIGI5,--
2032,Compressor running time,T60,--,Read-only,h,DIGI1,--
2034,Switch State,S01~S10,--,Read-only,--,BINARY,--
2035,Heating Returning Water Temp.,T40,--,Read-only,--,TEMP,--
2036,Heating Leaving Water Temp.,T41,--,Read-only,--,TEMP,--
2037,Mix Tube Outlet Water Temp.,T42,--,Read-only,--,TEMP,--
2038,DHW Returning Water Temp.,T43,--,Read-only,--,TEMP,--
2039,DHW Leaving Water Temp.,T44,--,Read-only,--,TEMP,--
2040,3rd IDU Dialing Status,S_IDU,--,Read-only,--,DIGI1,--
2041,IDU.WaterPressure,IDU.WaterPressure,--,Read-only,--,DIGI5,--
2042,Phase Current of Compressor,T36,Sys1CompCurrent,Read-only,--,DIGI5,--
2043,DC Power Bus Voltage,T37,Sys1BusDCVoltage,Read-only,--,DIGI1,--
2044,IPM Temp.,T38,Sys1IPMTemp,Read-only,--,TEMP,--
2045,Inlet Water Temp.,T01,InletWaterTemp,Read-only,--,TEMP,--
2046,Outlet Water Temp.,T02,OutletWaterTemp,Read-only,--,TEMP,--
2047,DHW Tank Temp.,T08,WaterTankTemp,Read-only,--,TEMP,--
2048,Ambient Temp. (AT),T04,AT,Read-only,--,TEMP,--
2049,Coil Temp.,T03,Sys1Coil1Temp,Read-only,--,TEMP,--
2050,Distributor Tube Temp.,T14,Sys1OTCTemp,Read-only,--,TEMP,--
2051,Suction Temp.,T05,Sys1SuctionTemp,Read-only,--,TEMP,--
2052,Buffer Tank Temp.,T07,--,Read-only,Buffer Tank Temp,TEMP,--
2053,Exhaust Temp.,T12,Sys1ExhaustTemp,Read-only,--,TEMP,--
2054,Power Input(ODU+IDU),Power In(Total),--,Read-only,kW,DIGI5,--
2055,Antifreeze Temp.,T06,--,Read-only,--,TEMP,--
2057,AC Input Current,T35,--,Read-only,AC input current,DIGI5,--
2058,Room Temp.,T09,--,Read-only,--,TEMP,--
2059,Capacity Output(ODU+IDU),Capacity Out(Total),--,Read-only,kW,DIGI5,--
2060,COP/EER(ODU+IDU),COP/EER(Total),--,Read-only,--,DIGI9,--
2061,IPM High Fault Temp.,T33,--,Read-only,--,TEMP,--
2062,AC Input Voltage,T34,--,Read-only,--,DIGI1,--
2063,EVI Inlet Temp.,T10,Sys1EVIInletTemp,Read-only,--,TEMP,--
2064,EVI Outlet Temp.,T11,Sys1EVIOutletTemp,Read-only,--,TEMP,--
2065,Evaporation Temperature,T49,--,Read-only,--,TEMP,--
2066,Exhaust Superheat,T50,--,Read-only,--,TEMP,--
2067,Superheat,T51,--,Read-only,--,TEMP,--
2068,Outlet Temp. after Electric Heater,T55,--,Read-only,--,TEMP,--
2069,Low Pressure,T15,Sys1LowPressure,Read-only,--,DIGI5,--
2071,Compressor Frequency,T30,--,Read-only,--,DIGI1,--
2072,Operation Frequency of Compressor,T31,Sys1CompWorkingFreq,Read-only,--,DIGI1,--
2073,Max. Frequency from Comp. Driver,T32,--,Read-only,--,DIGI1,--
2074,Speed of Fan Motor 1,T27,Sys1ACFan1RealSpeed,Read-only,--,DIGI1,--
2075,Speed of Fan Motor 2,T28,Sys1ACFan2RealSpeed,Read-only,--,DIGI1,--
2076,Target Speed of Fan Motor,T29,--,Read-only,--,DIGI1,--
2077,Water Flow Rate,T39,WaterFlowRateState,Read-only,--,DIGI9,--
2078,Comsuption Power-H,Comsuption Power-H,--,Read-only,--,DIGI1,--
2078+9,Comsuption Power,Comsuption Power,--,Read-only,Kw*h,DIGI1,--
2079,Comsuption Power-L,Comsuption Power-L,--,Read-only,--,DIGI1,--
2080,Driver Board Status,Driver Board Status,--,Read-only,--,DIGI1,--
2081,Fault7,Fault7,--,Read-only,Fault,BINARY,--
2082,Fault8,Fault8,--,Read-only,Fault,BINARY,--
2083,Fault9,Fault9,--,Read-only,Fault,BINARY,--
2084,Fault10,Fault10,--,Read-only,Fault,BINARY,--
2085,Fault1,Fault1,--,Read-only,Fault,BINARY,--
2086,Fault2,Fault2,--,Read-only,Fault,BINARY,--
2087,Fault3,Fault3,--,Read-only,Fault,BINARY,--
2088,Fault4,Fault4,--,Read-only,Fault,BINARY,--
2089,Fault5,Fault5,--,Read-only,Fault,BINARY,--
2090,Fault6,Fault6,--,Read-only,Fault,BINARY,--
2104,Code Version,code_version,MainBoardSoftwareVer,Read-only,code_version,DIGI5,--
2105,MainBoard Version,MainBoard Version,--,Read-only,--,DIGI1,--
2108,Silent_Mode,Silent_Mode,--,Read-only,--,DIGI1,--
2110,unsupported_mode,unsupported_mode,--,Read-only,--,DIGI1,--
2111,Display_Program_Code,Display_Program_Code,--,Read-only,--,DIGI1,--
2112,Display_Program_Version,Display_Program_Version,DisplayVer,Read-only,--,DIGI1,--
2113,Display Firmware Version,Display Firmware Ver,--,Read-only,--,DIGI1,--
2114,testxx,testxx,--,Read-only,--,DIGI1,--
2115,Main Pump Speed Output PWM Duty,T_PWM_Out,--,Read-only,--,DIGI1,--
2116,Main Pump Feedback PWM Duty,T_PWM_IN,--,Read-only,--,DIGI1,--
2117,Heating Consumption H(ODU),Heating Con.H(ODU),--,Read-only,kW*h,DIGI1,--
2117+8,Heating Consumption(ODU),Heating Con.(ODU),--,Read-only,kW*h,DIGI1,--
2118,Heating Consumption L(ODU),Heating Con.L(ODU),--,Read-only,kW*h,DIGI1,--
2119,Heating Generated H(ODU),Heating Gen.H(ODU),--,Read-only,kW*h,DIGI1,--
2119+8,Heating Generated(ODU),Heating Gen.(ODU),--,Read-only,kW*h,DIGI1,--
2120,Heating Generated L(ODU),Heating Gen.L(ODU),--,Read-only,--,DIGI1,--
2121,Cooling Consumption H(ODU),Cooling Con. H(ODU),--,Read-only,kW*h,DIGI1,--
2121+8,Cooling Consumption(ODU),Cooling Con.(ODU),--,Read-only,DIGI1,DIGI1,--
2122,Cooling Consumption L(ODU),Cooling Con. L(ODU),--,Read-only,kW*h,DIGI1,--
2123,Cooling Generated H(ODU),Cooling Gen.H(ODU),--,Read-only,kW*h,DIGI1,--
2123+8,Cooling Generated(ODU),Cooling Gen.(ODU),--,Read-only,kW*h,DIGI1,--
2124,Cooling Generated L(ODU),Cooling Gen.L(ODU),--,Read-only,kW*h,DIGI1,--
2125,DHW Consumption H(ODU),DHW Con. H(ODU),--,Read-only,kW*h,DIGI1,--
2125+8,DHW Consumption(ODU),DHW Con.(ODU),--,Read-only,kW*h,DIGI1,--
2126,DHW Consumption L(ODU),DHW Con. L(ODU),--,Read-only,kW*h,DIGI1,--
2127,DHW Generated H(ODU),DHW Gen.H(ODU),--,Read-only,kW*h,DIGI1,--
2127+8,DHW Generated(ODU),DHW Gen.(ODU),--,Read-only,kW*h,DIGI1,--
2128,DHW Generated L(ODU),DHW Gen.L(ODU),--,Read-only,kW*h,DIGI1,--
2130,Exernal Fan Motor Driver IPM Temp.,T46,--,Read-only,--,TEMP,--
2131,Exernal Fan Motor Driver Power,T47,--,Read-only,--,DIGI1,--
2132,Exernal Fan Motor Driver Current,T48,--,Read-only,--,DIGI6,--
2133,SG_Ready Status,SG_Ready Status,--,Read-only,--,ENUM,--
2134,Mode&Temp.&Power Timer Status,Mode&Temp. Status,--,Read-only,--,ENUM,--
2136,AT_Temp,AT_Temp,--,Read-only,--,TEMP,--
2137,Power Input(ODU),Power In(ODU),--,Read-only,kW,DIGI5,--
2138,Capacity Output(ODU),Capacity Out(ODU),--,Read-only,kW,DIGI5,--
2139,Mainboard Freq. status,Main Freq. status,--,Read-only,--,DIGI1,--
2140,Heating Consumption/Generated H(IDU),Heating Con.H(IDU),--,Read-only,kW*h,DIGI1,--
2140+41,Heating Consumption/Generated(IDU),Heating Con.(IDU),--,Read-only,kW*h,DIGI1,--
2141,Heating Consumption/Generated L(IDU),Heating Con.L(IDU),--,Read-only,kW*h,DIGI1,--
2142,DHW Consumption/Generated H(IDU),DHW Con. H(IDU),--,Read-only,kW*h,DIGI1,--
2142+2143,DHW Consumption/Generated(IDU),DHW Con.(IDU),--,Read-only,kW*h,DIGI1,--
2143,DHW Consumption/Generated L(IDU),DHW Con. L(IDU),--,Read-only,kW*h,DIGI1,--
2144,DisplayCommSucess,DisplayCommSucess,--,Read-only,%,DIGI1,--
2145,InverterCommSucess,InverterCommSucess,--,Read-only,%,DIGI1,--
2147,Capacity Output(IDU),Capacity Out(IDU),--,Read-only,kW,DIGI5,--
2148,BufferTank Outlet(Test),T_Test01,--,Read-only,--,TEMP,--
2149,BufferTank Inlet(Test),T_Test02,--,Read-only,--,TEMP,--
2150,2150,2150,--,Read-only,--,DIGI1,--
2151,EMS Strategy Command,EMS Strategy Command,--,Read-only,--,DIGI1,--
2152,EMS_State,EMS_State,--,Read-only,--,DIGI1,--
2153,Electricity_Price,Electricity_Price,--,Read-only,--,TEMP,--
2154,OnGrid Power,OnGrid Power,--,Read-only,--,DIGI6,--
2155,BatterySoC,BatterySoC,--,Read-only,--,DIGI5,--
2156,BatteryPower,BatteryPower,--,Read-only,--,DIGI6,--
2157,PV_Power,PV_Power,--,Read-only,--,DIGI6,--
2158,NaturalGasPrice,NaturalGasPrice,--,Read-only,--,DIGI9,--
2160,Zone 1 Room Temp,Zone 1 Room Temp,--,Read-only,--,TEMP,--
2161,Zone 2 Mixing Temp,Zone 2 Mixing Temp,--,Read-only,--,TEMP,--
2162,Zone 2 Room Temp,Zone 2 Room Temp,--,Read-only,--,TEMP,--
2163,Zone 2 Mixing Valve Percentage,Zone 2 Mixing Valve,--,Read-only,--,DIGI1,--
2164,Zone 1 Water Target,Zone 1 Water Target,--,Read-only,--,TEMP,--
2165,Zone 2 Water Target,Zone 2 Water Target,--,Read-only,--,TEMP,--
2166,zone_mixingvalve_operation_cnt,zone_mixingvalve_operation_cnt,--,Read-only,zone_mixingvalve_operation_cnt,DIGI1,--
2178,Indoor Temp.,DP4,--,Read-only,--,TEMP,--
2179,Indoor Humidity,DP5,--,Read-only,--,TEMP,--
2180,Dew Point Temp.,DP6,--,Read-only,--,TEMP,--
5091,P,L01,--,Read-write,0~99.0,DIGI5,0~99.0
5092,I,L02,--,Read-write,0~99.0,DIGI5,0~99.0
5093,D,L03,--,Read-write,0~99.0,DIGI5,0~99.0
5094,Cycle of PID,L04,--,Read-write,0~100min,DIGI1,0~100
5095,Percentage of Units Allowed to Defrost,L05,--,Read-write,0~100%,DIGI1,0~100
5096,Quantity of Units in The Project,L06,--,Read-write,1~16,DIGI1,1~16
5097,Temp. Control Selection,L07,--,Read-write,--,ENUM,0~2
5098,Low Diff. Value of Optimal Load Ratio,L08,--,Read-write,-100~100%,Float,-100~100
5099,High Diff. Value of Optimal Load Ratio,L09,--,Read-write,-100~100%,Float,-100~100
5100,Power,L10,--,Read-write,--,ENUM,0~1
5101,Mode,L11,--,Read-write,--,ENUM,0~4
5102,Cooling Target Temp.,L12,--,Read-write,L15~L16,TEMP,$5106$~$5105$
5103,Heating Target Temp.,L13,--,Read-write,L17~L18,TEMP,$5108$~$5107$
5104,DHW Target Temp.,L14,--,Read-write,L19~L20,TEMP,$5110$~$5109$
